#name, A, B, C, D, E, F
NODE_0000078, 8.90356891264897e-11, 1.9954917746521437e-05, 1.3503983986513574e-09, 0.9999800192745243, 6.948257959927575e-10, 2.3673469509941823e-08
KJ501318/2002/USA/MD/Unknown/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000079, 8.90355553055298e-11, 1.9954017362455836e-05, 1.3503978847654052e-09, 0.9999800201749133, 6.948254638063879e-10, 2.3673465368523702e-08
KJ501299/2002/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000080, 8.916863938485669e-11, 2.060874170162623e-05, 1.352359072887661e-09, 0.9999793653661564, 6.957111535333376e-10, 2.37549032246464e-08
NODE_0000081, 8.889551921944164e-11, 1.927372658548557e-05, 1.348408467295334e-09, 0.9999807005505883, 6.93922008259341e-10, 2.3591600233271612e-08
KJ501288/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ501494/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000082, 8.903197280482619e-11, 1.9930032759593165e-05, 1.3503823256832516e-09, 0.999980044159899, 6.948160040956563e-10, 2.367311101785546e-08
KJ501279/2002/USA/PA/Unknown/NY99/unknown/Bird-other, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000040, 8.88920613027989e-11, 1.9251350451172414e-05, 1.3483933967807834e-09, 0.9999807229270995, 6.939128599725708e-10, 2.359125106293333e-08
KJ501344/2002/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
KJ501290/2002/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000047, 8.903966057208709e-11, 1.9981533825003865e-05, 1.3504154416588666e-09, 0.9999799926580479, 6.948362168683047e-10, 2.3673835763399473e-08
HQ671709/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000049, 8.917953884503014e-11, 2.0684142528874584e-05, 1.3524063169992078e-09, 0.9999792899641717, 6.957398957042035e-10, 2.3755973692012947e-08
NODE_0000013, 8.917236059397138e-11, 2.063445135006377e-05, 1.352375156311705e-09, 0.999979339656119, 6.95720951661658e-10, 2.3755262712851858e-08
NODE_0000014, 8.889564944171723e-11, 1.927457419824768e-05, 1.3484089674972088e-09, 0.9999806997029707, 6.939223316292632e-10, 2.3591604276362743e-08
MH166901/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
MH166904/2000/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
NODE_0000015, 8.903210307996013e-11, 1.993090828519495e-05, 1.3503828260376082e-09, 0.9999800432843686, 6.948163275091001e-10, 2.3673115071020887e-08
KX547393/2002/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0
NODE_0000016, 8.889206573863568e-11, 1.9251379316081094e-05, 1.34839341375652e-09, 0.9999807228982344, 6.939128709737867e-10, 2.359125117316062e-08
KX547378/2002/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
HQ671715/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
