"","intro_node_num","fst_sample_date","last_sample_date","intro_label","inferred_trap","intro_inferred_date","inferred_zone","intro_trap_1","intro_trap_2","intro_zone_1","intro_zone_2","zone_match","n","foco_n","inferred_duration","sample_duration","intro","intro_year","intro_month","intro_month0","inferred_persistence","persistence"
"46",3743,2016-08-15,2019-08-27,"NODE_0000838","IL/Dupage",2012-08-06,"IL/Dupage","FC-040GR",NA,"CO/FC/NE",NA,FALSE,7,4,7.06,3.03,46,2016,"8",1,"long","long"
"47",3750,2016-07-18,2018-09-04,"NODE_0001334","OH",2011-07-22,"OH","LV-095",NA,"CO/LV/LV",NA,FALSE,5,4,7.13,2.13,47,2016,"7",0,"long","long"
"48",3767,2016-08-02,2018-08-21,"NODE_0001248","FC-054",2015-03-29,"CO/FC/SE","FC-053",NA,"CO/FC/SE",NA,TRUE,2,2,3.4,2.05,48,2016,"8",1,"long","long"
"49",3790,2018-08-30,2021-08-09,"NODE_0001271","OH",2012-04-28,"OH","FC-034",NA,"CO/FC/NE",NA,FALSE,13,13,9.29,2.95,49,2018,"8",1,"long","long"
"50",5336,2013-08-12,2016-08-23,"NODE_0002105","TX/Denton",2011-04-06,"TX/Denton","FC-038",NA,"CO/FC/NE",NA,FALSE,9,8,5.39,3.03,50,2013,"8",1,"long","long"
"51",5418,2013-08-07,2013-08-12,"NODE_0001092","FC-093",2012-06-18,"CO/FC/SW","FC-011",NA,"CO/FC/NW",NA,FALSE,2,2,1.15,0.01,51,2013,"8",1,"long","short"
"52",5439,2016-08-15,2021-08-10,"NODE_0001113","FC-041",2012-06-11,"CO/FC/NW","FC-067",NA,"CO/FC/NE",NA,FALSE,10,10,9.17,4.99,52,2016,"8",1,"long","long"
"53",5630,2013-08-08,2016-08-10,"NODE_0000225","OH",2005-01-22,"OH","LV-105",NA,"CO/LV/LV",NA,FALSE,9,9,11.56,3.01,53,2013,"8",1,"long","long"
"54",5665,2012-08-13,2018-08-13,"NODE_0000260","OH",2008-03-13,"OH","FC-031","FC-027","CO/FC/SE","CO/FC/SE",FALSE,92,86,10.42,6,54,2012,"8",1,"long","long"
"55",5788,2015-08-18,2015-08-24,"NODE_0000400","FC-089GR",2014-04-27,"CO/FC/SW","FC-088GR",NA,"CO/FC/SE",NA,FALSE,2,2,1.33,0.02,55,2015,"8",1,"long","short"
"56",5803,2017-07-11,2019-09-01,"NODE_0000385","LV-097",2015-02-26,"CO/LV/LV","FC-053",NA,"CO/FC/SE",NA,FALSE,12,12,4.52,2.14,56,2017,"7",0,"long","long"
"57",5816,2013-07-09,2014-08-26,"NODE_0000432","OH",2011-07-03,"OH","FC-066",NA,"CO/FC/NE",NA,FALSE,4,4,3.15,1.13,57,2013,"7",0,"long","long"
"58",5824,2018-07-11,2019-08-18,"NODE_0000423","LV-074",2014-07-24,"CO/LV/LV","LC-054",NA,"CO/BE/LC",NA,FALSE,9,9,5.07,1.1,58,2018,"7",0,"long","long"
"59",5839,2013-07-23,2013-08-26,"NODE_0000575","OH",2009-08-14,"OH","FC-046",NA,"CO/FC/SE",NA,FALSE,2,2,4.04,0.09,59,2013,"7",0,"long","short"
