"","strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"742","KJ501403/2005/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501403",2005-08-09,2005,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"743","KJ501404/2005/USA/MN/Unknown/SW03/unknown/Bird-other","KJ501404",2005-07-28,2005,"USA","MN","Not CO","MN","MN","MN","SW03","unknown","Bird-other"
"744","KJ501405/2006/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501405",2006-07-19,2006,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"745","KJ501406/2006/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501406",2006-07-27,2006,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"746","KJ501407/2006/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501407",2006-07-27,2006,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"747","KJ501408/2006/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501408",2006-07-27,2006,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"748","KJ501409/2006/USA/MN/Unknown/SW03/unknown/Bird-other","KJ501409",2006-07-28,2006,"USA","MN","Not CO","MN","MN","MN","SW03","unknown","Bird-other"
"749","KJ501410/2006/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501410",2006-08-17,2006,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"750","KJ501411/2008/USA/NE/Unknown/WN02/unknown/Bird-other","KJ501411",2008-08-12,2008,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Bird-other"
"751","KJ501412/2008/USA/NE/Unknown/WN02/unknown/Bird-other","KJ501412",2008-08-12,2008,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Bird-other"
"752","KJ501413/2004/USA/NC/Unknown/WN02/unknown/Bird-crow","KJ501413",2004-10-15,2004,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-crow"
"753","KJ501414/2005/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501414",2005-08-25,2005,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"754","KJ501415/2006/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501415",2006-07-26,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"755","KJ501416/2006/USA/NC/Unknown/SW03/unknown/Bird-other","KJ501416",2006-09-07,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","SW03","unknown","Bird-other"
"756","KJ501417/2006/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501417",2006-07-26,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"757","KJ501418/2008/USA/NC/Unknown/SW03/unknown/Bird-other","KJ501418",2008-12-04,2008,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","SW03","unknown","Bird-other"
"758","KJ501419/2004/USA/SD/Unknown/SW03/unknown/Bird-other","KJ501419",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","SW03","unknown","Bird-other"
"759","KJ501420/2004/USA/SD/Unknown/SW03/unknown/Bird-other","KJ501420",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","SW03","unknown","Bird-other"
"760","KJ501421/2004/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501421",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"761","KJ501422/2004/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501422",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"762","KJ501423/2004/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501423",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"763","KJ501424/2007/USA/SD/Unknown/SW03/unknown/Bird-other","KJ501424",2007-08-03,2007,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","SW03","unknown","Bird-other"
"764","KJ501425/2007/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501425",2007-08-03,2007,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"765","KJ501426/2002/USA/TX/Unknown/WN02/unknown/Bird-crow","KJ501426",2002-07-19,2002,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Bird-crow"
"766","KJ501427/2002/USA/TX/Unknown/WN02/unknown/Bird-other","KJ501427",2002-09-11,2002,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Bird-other"
"767","KJ501428/2006/USA/WI/Unknown/SW03/unknown/Bird-other","KJ501428",2006-08-15,2006,"USA","WI","Not CO","WI","WI","WI","SW03","unknown","Bird-other"
"768","KJ501429/2006/USA/WI/Unknown/SW03/unknown/Bird-other","KJ501429",2006-08-16,2006,"USA","WI","Not CO","WI","WI","WI","SW03","unknown","Bird-other"
"769","KJ501430/2006/USA/WI/Unknown/SW03/unknown/Bird-other","KJ501430",2006-08-16,2006,"USA","WI","Not CO","WI","WI","WI","SW03","unknown","Bird-other"
"770","KJ501431/2006/USA/WI/Unknown/SW03/unknown/Bird-other","KJ501431",2006-08-16,2006,"USA","WI","Not CO","WI","WI","WI","SW03","unknown","Bird-other"
"771","KJ501432/2012/USA/MA/Unknown/WN02/unknown/Bird-crow","KJ501432",2012-08-29,2012,"USA","MA","Not CO","MA/Unknown","MA/Unknown","MA/Unknown","WN02","unknown","Bird-crow"
"772","KJ501434/2012/USA/MT/Unknown/WN02/unknown/Bird-other","KJ501434",2012-07-30,2012,"USA","MT","Not CO","MT/Unknown","MT/Unknown","MT/Unknown","WN02","unknown","Bird-other"
"773","KJ501435/2012/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501435",2012-08-13,2012,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"774","KJ501437/2012/USA/WI/Unknown/WN02/unknown/Bird-crow","KJ501437",2012-08-28,2012,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Bird-crow"
"775","KJ501438/2010/USA/AZ/Unknown/WN02/unknown/Bird-other","KJ501438",2010-05-18,2010,"USA","AZ","Not CO","AZ/Unknown","AZ/Unknown","AZ/Unknown","WN02","unknown","Bird-other"
"776","KJ501439/2001/USA/MO/Unknown/WN02/unknown/Bird-crow","KJ501439",2001-10-12,2001,"USA","MO","Not CO","MO/Unknown","MO/Unknown","MO/Unknown","WN02","unknown","Bird-crow"
"777","KJ501440/2008/USA/SD/Day/WN02/unknown/Bird-other","KJ501440",2008-07-30,2008,"USA","SD","Not CO","SD/Day","SD/Day","SD/Day","WN02","unknown","Bird-other"
"778","KJ501441/2008/USA/SD/Pennington/WN02/unknown/Bird-other","KJ501441",2008-10-01,2008,"USA","SD","Not CO","SD/Pennington","SD/Pennington","SD/Pennington","WN02","unknown","Bird-other"
"779","KJ501442/2010/USA/AZ/Maricopa/WN02/unknown/Bird-other","KJ501442",2010-05-19,2010,"USA","AZ","Not CO","AZ/Maricopa","AZ/Maricopa","AZ/Maricopa","WN02","unknown","Bird-other"
"780","KJ501443/2001/USA/IL/Will/NY99/unknown/Bird-crow","KJ501443",2001-10-19,2001,"USA","IL","Not CO","IL/Will","IL/Will","IL/Will","NY99","unknown","Bird-crow"
"781","KJ501445/2001/USA/NJ/Unknown/NY99/unknown/Bird-crow","KJ501445",2001-10-02,2001,"USA","NJ","Not CO","NJ/Unknown","NJ/Unknown","NJ/Unknown","NY99","unknown","Bird-crow"
"782","KJ501446/2003/USA/NJ/Unknown/WN02/unknown/Bird-other","KJ501446",2003-09-16,2003,"USA","NJ","Not CO","NJ/Unknown","NJ/Unknown","NJ/Unknown","WN02","unknown","Bird-other"
"783","KJ501447/2003/USA/NC/Unknown/WN02/unknown/Bird-crow","KJ501447",2003-07-09,2003,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-crow"
"784","KJ501448/2001/USA/OH/Unknown/WN02/unknown/Bird-crow","KJ501448",2001-01-01,2001,"USA","OH","Not CO","OH","OH","OH","WN02","unknown","Bird-crow"
"785","KJ501449/2002/USA/PA/Unknown/WN02/unknown/Bird-other","KJ501449",2002-08-26,2002,"USA","PA","Not CO","PA/Unknown","PA/Unknown","PA/Unknown","WN02","unknown","Bird-other"
"786","KJ501450/2002/USA/PA/Unknown/NY99/unknown/Bird-crow","KJ501450",2002-08-27,2002,"USA","PA","Not CO","PA/Unknown","PA/Unknown","PA/Unknown","NY99","unknown","Bird-crow"
"787","KJ501451/2003/USA/PA/Unknown/WN02/unknown/Bird-crow","KJ501451",2003-08-28,2003,"USA","PA","Not CO","PA/Unknown","PA/Unknown","PA/Unknown","WN02","unknown","Bird-crow"
"788","KJ501452/2001/USA/WI/Unknown/WN02/unknown/Bird-crow","KJ501452",2001-11-09,2001,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Bird-crow"
"789","KJ501453/2001/USA/WI/Racine/WN02/unknown/Bird-crow","KJ501453",2001-10-05,2001,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Bird-crow"
"790","KJ501454/2001/USA/WI/Dane/WN02/unknown/Bird-crow","KJ501454",2001-10-05,2001,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Bird-crow"
"791","KJ501455/2001/USA/AL/Montgomery/NY99/unknown/Bird-other","KJ501455",2001-09-14,2001,"USA","AL","Not CO","AL","AL","AL","NY99","unknown","Bird-other"
"792","KJ501456/2003/USA/MD/Unknown/WN02/unknown/Bird-crow","KJ501456",2003-08-19,2003,"USA","MD","Not CO","MD","MD","MD","WN02","unknown","Bird-crow"
"793","KJ501457/2003/USA/MA/Unknown/WN02/unknown/Bird-crow","KJ501457",2003-09-26,2003,"USA","MA","Not CO","MA/Unknown","MA/Unknown","MA/Unknown","WN02","unknown","Bird-crow"
"794","KJ501458/2002/USA/MO/Unknown/WN02/unknown/Bird-other","KJ501458",2002-08-30,2002,"USA","MO","Not CO","MO/Unknown","MO/Unknown","MO/Unknown","WN02","unknown","Bird-other"
"795","KJ501459/2003/USA/OK/Payne/WN02/unknown/Bird-crow","KJ501459",2003-08-01,2003,"USA","OK","Not CO","OK/Payne","OK/Payne","OK/Payne","WN02","unknown","Bird-crow"
"796","KJ501460/2003/USA/DC/District_Of_Columbia/WN02/unknown/Bird-other","KJ501460",2003-09-11,2003,"USA","DC","Not CO","DC/District_Of_Columbia","DC/District_Of_Columbia","DC/District_Of_Columbia","WN02","unknown","Bird-other"
"797","KJ501461/2005/USA/MT/Phillips/WN02/unknown/Bird-other","KJ501461",2005-09-01,2005,"USA","MT","Not CO","MT/Phillips","MT/Phillips","MT/Phillips","WN02","unknown","Bird-other"
"798","KJ501462/2002/USA/UT/Weber/SW03/unknown/Bird-other","KJ501462",2002-09-12,2002,"USA","UT","Not CO","UT/Weber","UT/Weber","UT/Weber","SW03","unknown","Bird-other"
"799","KJ501463/2002/USA/KS/Unknown/WN02/unknown/Bird-crow","KJ501463",2002-08-09,2002,"USA","KS","Not CO","KS/Unknown","KS/Unknown","KS/Unknown","WN02","unknown","Bird-crow"
"800","KJ501464/2002/USA/MD/Unknown/WN02/unknown/Bird-other","KJ501464",2002-09-16,2002,"USA","MD","Not CO","MD","MD","MD","WN02","unknown","Bird-other"
"801","KJ501465/2001/USA/MI/Oakland/NY99/unknown/Bird-crow","KJ501465",2001-08-24,2001,"USA","MI","Not CO","MI","MI","MI","NY99","unknown","Bird-crow"
"802","KJ501466/2002/USA/MI/Lapeer/WN02/unknown/Bird-other","KJ501466",2002-09-20,2002,"USA","MI","Not CO","MI","MI","MI","WN02","unknown","Bird-other"
"803","KJ501467/2002/USA/MI/Wayne/WN02/unknown/Bird-other","KJ501467",2002-09-27,2002,"USA","MI","Not CO","MI","MI","MI","WN02","unknown","Bird-other"
"804","KJ501468/2001/USA/MS/Adams/NY99/unknown/Bird-other","KJ501468",2001-09-27,2001,"USA","MS","Not CO","MS/Adams","MS/Adams","MS/Adams","NY99","unknown","Bird-other"
"805","KJ501469/2003/USA/NE/Knox/WN02/unknown/Bird-other","KJ501469",2003-08-15,2003,"USA","NE","Not CO","NE/Knox","NE/Knox","NE/Knox","WN02","unknown","Bird-other"
"806","KJ501470/2003/USA/SD/Day/WN02/unknown/Bird-other","KJ501470",2003-08-05,2003,"USA","SD","Not CO","SD/Day","SD/Day","SD/Day","WN02","unknown","Bird-other"
"807","KJ501471/2005/USA/AZ/Coconino/SW03/unknown/Bird-other","KJ501471",2005-08-12,2005,"USA","AZ","Not CO","AZ/Coconino","AZ/Coconino","AZ/Coconino","SW03","unknown","Bird-other"
"808","KJ501472/2003/USA/GA/Unknown/WN02/unknown/Bird-crow","KJ501472",2003-08-15,2003,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-crow"
"809","KJ501473/2001/USA/IL/Dupage/NY99/unknown/Bird-crow","KJ501473",2001-09-27,2001,"USA","IL","Not CO","IL/Dupage","IL/Dupage","IL/Dupage","NY99","unknown","Bird-crow"
"810","KJ501474/2002/USA/IA/Kossuth/WN02/unknown/Bird-other","KJ501474",2002-09-27,2002,"USA","IA","Not CO","IA/Kossuth","IA/Kossuth","IA/Kossuth","WN02","unknown","Bird-other"
"811","KJ501475/2002/USA/KS/Unknown/WN02/unknown/Bird-other","KJ501475",2002-08-23,2002,"USA","KS","Not CO","KS/Unknown","KS/Unknown","KS/Unknown","WN02","unknown","Bird-other"
"812","KJ501476/2002/USA/KS/Unknown/WN02/unknown/Bird-other","KJ501476",2002-08-30,2002,"USA","KS","Not CO","KS/Unknown","KS/Unknown","KS/Unknown","WN02","unknown","Bird-other"
"813","KJ501477/2003/USA/KS/Unknown/WN02/unknown/Bird-crow","KJ501477",2003-08-12,2003,"USA","KS","Not CO","KS/Unknown","KS/Unknown","KS/Unknown","WN02","unknown","Bird-crow"
"814","KJ501478/2003/USA/KS/Unknown/SW03/unknown/Bird-other","KJ501478",2003-08-14,2003,"USA","KS","Not CO","KS/Unknown","KS/Unknown","KS/Unknown","SW03","unknown","Bird-other"
"815","KJ501479/2002/USA/KY/Boone/WN02/unknown/Bird-other","KJ501479",2002-09-04,2002,"USA","KY","Not CO","KY/Boone","KY/Boone","KY/Boone","WN02","unknown","Bird-other"
"816","KJ501480/2001/USA/MD/Anne_Arundel/NY99/unknown/Bird-crow","KJ501480",2001-09-13,2001,"USA","MD","Not CO","MD","MD","MD","NY99","unknown","Bird-crow"
"817","KJ501481/2002/USA/MI/Unknown/WN02/unknown/Bird-crow","KJ501481",2002-09-04,2002,"USA","MI","Not CO","MI","MI","MI","WN02","unknown","Bird-crow"
"818","KJ501482/2002/USA/NE/Unknown/WN02/unknown/Bird-other","KJ501482",2002-07-17,2002,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Bird-other"
"819","KJ501483/2002/USA/NE/Unknown/WN02/unknown/Bird-other","KJ501483",2002-07-30,2002,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Bird-other"
"820","KJ501484/2002/USA/NE/Unknown/WN02/unknown/Bird-crow","KJ501484",2002-08-30,2002,"USA","NE","Not CO","NE/Unknown","NE/Unknown","NE/Unknown","WN02","unknown","Bird-crow"
"821","KJ501485/2006/USA/NV/Churchill/SW03/unknown/Bird-other","KJ501485",2006-07-18,2006,"USA","NV","Not CO","NV/Churchill","NV/Churchill","NV/Churchill","SW03","unknown","Bird-other"
"822","KJ501486/2001/USA/NJ/Mercer/NY99/unknown/Bird-other","KJ501486",2001-09-17,2001,"USA","NJ","Not CO","NJ/Mercer","NJ/Mercer","NJ/Mercer","NY99","unknown","Bird-other"
"823","KJ501487/2005/USA/NC/Unknown/WN02/unknown/Bird-crow","KJ501487",2005-09-02,2005,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-crow"
"824","KJ501488/2003/USA/ND/Stutsman/WN02/unknown/Bird-other","KJ501488",2003-07-23,2003,"USA","ND","Not CO","ND/Stutsman","ND/Stutsman","ND/Stutsman","WN02","unknown","Bird-other"
"825","KJ501489/2002/USA/VA/Unknown/NY99/unknown/Bird-crow","KJ501489",2002-07-30,2002,"USA","VA","Not CO","VA","VA","VA","NY99","unknown","Bird-crow"
"826","KJ501490/2002/USA/VA/Unknown/WN02/unknown/Bird-crow","KJ501490",2002-08-06,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Bird-crow"
"827","KJ501491/2002/USA/VA/Unknown/WN02/unknown/Bird-crow","KJ501491",2002-08-13,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Bird-crow"
"828","KJ501492/2005/USA/WI/Unknown/NY99/unknown/Bird-other","KJ501492",2005-08-12,2005,"USA","WI","Not CO","WI","WI","WI","NY99","unknown","Bird-other"
"829","KJ501493/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-other","KJ501493",2001-10-02,2001,"USA","DC","Not CO","DC/District_Of_Columbia","DC/District_Of_Columbia","DC/District_Of_Columbia","NY99","unknown","Bird-other"
"830","KJ501494/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow","KJ501494",2001-09-18,2001,"USA","DC","Not CO","DC/District_Of_Columbia","DC/District_Of_Columbia","DC/District_Of_Columbia","NY99","unknown","Bird-crow"
"831","KJ501495/2002/USA/DC/District_Of_Columbia/WN02/unknown/Bird-other","KJ501495",2002-08-13,2002,"USA","DC","Not CO","DC/District_Of_Columbia","DC/District_Of_Columbia","DC/District_Of_Columbia","WN02","unknown","Bird-other"
"832","KJ501496/2001/USA/IL/Cook/WN02/unknown/Bird-other","KJ501496",2001-10-10,2001,"USA","IL","Not CO","IL/Cook","IL/Cook","IL/Cook","WN02","unknown","Bird-other"
"833","KJ501497/2001/USA/IL/Unknown/WN02/unknown/Bird-other","KJ501497",2001-10-17,2001,"USA","IL","Not CO","IL/Unknown","IL/Unknown","IL/Unknown","WN02","unknown","Bird-other"
"834","KJ501498/2003/USA/MD/Unknown/WN02/unknown/Bird-other","KJ501498",2003-08-22,2003,"USA","MD","Not CO","MD","MD","MD","WN02","unknown","Bird-other"
"835","KJ501499/2003/USA/MD/Prince_George_s/WN02/unknown/Bird-other","KJ501499",2003-10-02,2003,"USA","MD","Not CO","MD","MD","MD","WN02","unknown","Bird-other"
"836","KJ501500/2009/USA/MD/Talbot/WN02/unknown/Bird-other","KJ501500",2009-12-22,2009,"USA","MD","Not CO","MD","MD","MD","WN02","unknown","Bird-other"
"837","KJ501501/2002/USA/MO/Unknown/WN02/unknown/Bird-crow","KJ501501",2002-08-16,2002,"USA","MO","Not CO","MO/Unknown","MO/Unknown","MO/Unknown","WN02","unknown","Bird-crow"
"838","KJ501502/2002/USA/MT/Unknown/WN02/unknown/Bird-crow","KJ501502",2002-09-04,2002,"USA","MT","Not CO","MT/Unknown","MT/Unknown","MT/Unknown","WN02","unknown","Bird-crow"
"839","KJ501503/2002/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501503",2002-07-25,2002,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"840","KJ501504/2003/USA/ND/Burleigh/WN02/unknown/Bird-other","KJ501504",2003-08-13,2003,"USA","ND","Not CO","ND/Burleigh","ND/Burleigh","ND/Burleigh","WN02","unknown","Bird-other"
"841","KJ501505/2002/USA/OK/Unknown/WN02/unknown/Bird-crow","KJ501505",2002-07-17,2002,"USA","OK","Not CO","OK/Unknown","OK/Unknown","OK/Unknown","WN02","unknown","Bird-crow"
"842","KJ501506/2003/USA/OK/Payne/WN02/unknown/Bird-crow","KJ501506",2003-09-30,2003,"USA","OK","Not CO","OK/Payne","OK/Payne","OK/Payne","WN02","unknown","Bird-crow"
"843","KJ501507/2001/USA/SD/Bennett/WN02/unknown/Bird-other","KJ501507",2001-08-30,2001,"USA","SD","Not CO","SD/Bennett","SD/Bennett","SD/Bennett","WN02","unknown","Bird-other"
"844","KJ501508/2003/USA/TX/Unknown/WN02/unknown/Bird-other","KJ501508",2003-07-31,2003,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Bird-other"
"845","KJ501509/2001/USA/WI/Milwaukee/WN02/unknown/Bird-other","KJ501509",2001-11-09,2001,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Bird-other"
"846","KJ501510/2002/USA/AR/Unknown/WN02/unknown/Bird-other","KJ501510",2002-08-02,2002,"USA","AR","Not CO","AR/Unknown","AR/Unknown","AR/Unknown","WN02","unknown","Bird-other"
"847","KJ501511/2002/USA/AR/Unknown/WN02/unknown/Bird-other","KJ501511",2002-08-02,2002,"USA","AR","Not CO","AR/Unknown","AR/Unknown","AR/Unknown","WN02","unknown","Bird-other"
"848","KJ501512/2001/USA/GA/Fulton/NY99/unknown/Bird-crow","KJ501512",2001-10-02,2001,"USA","GA","Not CO","GA","GA","GA","NY99","unknown","Bird-crow"
"849","KJ501514/2002/USA/GA/Unknown/WN02/unknown/Bird-crow","KJ501514",2002-10-02,2002,"USA","GA","Not CO","GA","GA","GA","WN02","unknown","Bird-crow"
"850","KJ501515/2001/USA/NJ/Middlesex/NY99/unknown/Bird-other","KJ501515",2001-10-31,2001,"USA","NJ","Not CO","NJ/Middlesex","NJ/Middlesex","NJ/Middlesex","NY99","unknown","Bird-other"
"851","KJ501516/2001/USA/OH/Wood/NY99/unknown/Bird-crow","KJ501516",2001-09-20,2001,"USA","OH","Not CO","OH","OH","OH","NY99","unknown","Bird-crow"
"852","KJ501517/2002/USA/OH/Unknown/WN02/unknown/Bird-crow","KJ501517",2002-08-15,2002,"USA","OH","Not CO","OH","OH","OH","WN02","unknown","Bird-crow"
"853","KJ501518/2007/USA/MT/Phillips/SW03/unknown/Bird-other","KJ501518",2007-07-27,2007,"USA","MT","Not CO","MT/Phillips","MT/Phillips","MT/Phillips","SW03","unknown","Bird-other"
"854","KJ501519/2002/USA/VA/Unknown/WN02/unknown/Bird-crow","KJ501519",2002-08-13,2002,"USA","VA","Not CO","VA","VA","VA","WN02","unknown","Bird-crow"
"855","KJ501520/2004/USA/MN/Unknown/WN02/unknown/Bird-other","KJ501520",2004-10-15,2004,"USA","MN","Not CO","MN","MN","MN","WN02","unknown","Bird-other"
"856","KJ501521/2006/USA/NV/Unknown/SW03/unknown/Bird-other","KJ501521",2006-07-18,2006,"USA","NV","Not CO","NV/Unknown","NV/Unknown","NV/Unknown","SW03","unknown","Bird-other"
"857","KJ501522/2004/USA/NC/Unknown/SW03/unknown/Bird-other","KJ501522",2004-07-30,2004,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","SW03","unknown","Bird-other"
"858","KJ501523/2006/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501523",2006-07-25,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"859","KJ501524/2006/USA/NC/Unknown/WN02/unknown/Bird-other","KJ501524",2006-09-07,2006,"USA","NC","Not CO","NC/Unknown","NC/Unknown","NC/Unknown","WN02","unknown","Bird-other"
"860","KJ501525/2004/USA/SD/Unknown/WN02/unknown/Bird-other","KJ501525",2004-08-06,2004,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Bird-other"
"861","KJ501526/2006/USA/SD/Unknown/SW03/unknown/Bird-other","KJ501526",2006-07-17,2006,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","SW03","unknown","Bird-other"
"862","KJ501527/2003/USA/TX/Unknown/WN02/unknown/Bird-crow","KJ501527",2003-08-04,2003,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","WN02","unknown","Bird-crow"
"863","KJ501529/2006/USA/WI/Unknown/SW03/unknown/Bird-other","KJ501529",2006-08-16,2006,"USA","WI","Not CO","WI","WI","WI","SW03","unknown","Bird-other"
"864","KJ501530/2012/USA/PA/Unknown/WN02/unknown/Bird-other","KJ501530",2012-09-27,2012,"USA","PA","Not CO","PA/Unknown","PA/Unknown","PA/Unknown","WN02","unknown","Bird-other"
"865","KJ501531/2012/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501531",2012-08-07,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"866","KJ501532/2012/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501532",2012-08-21,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"867","KJ501533/2012/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501533",2012-08-24,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"868","KJ501534/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501534",2011-08-25,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"869","KJ501535/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501535",2011-09-27,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"870","KJ501536/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501536",2011-08-26,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"871","KJ501537/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501537",2011-07-27,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"872","KJ501538/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501538",2011-07-26,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"873","KJ501539/2011/USA/NY/Unknown/WN02/unknown/Mosquito-Culex","KJ501539",2011-09-23,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"874","KJ786934/2001/USA/NY/Unknown/NY99/unknown/Human","KJ786934",2001-08-01,2001,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Human"
"875","KJ786935/2012/USA/TX/Harris/WN02/unknown/Bird-other","KJ786935",2012-08-22,2012,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"876","KJ786936/2012/USA/TX/Harris/WN02/unknown/Bird-other","KJ786936",2012-08-17,2012,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"877","KM012170/2012/USA/AZ/Unknown/WN02/unknown/Human","KM012170",2012-08-01,2012,"USA","AZ","Not CO","AZ/Unknown","AZ/Unknown","AZ/Unknown","WN02","unknown","Human"
"878","KM012171/2012/USA/MS/Unknown/WN02/unknown/Human","KM012171",2012-08-01,2012,"USA","MS","Not CO","MS/Unknown","MS/Unknown","MS/Unknown","WN02","unknown","Human"
"879","KM012172/2012/USA/TX/Unknown/SW03/unknown/Human","KM012172",2012-08-01,2012,"USA","TX","Not CO","TX/Unknown","TX/Unknown","TX/Unknown","SW03","unknown","Human"
"880","KM012173/2012/USA/SD/Unknown/WN02/unknown/Human","KM012173",2012-08-01,2012,"USA","SD","Not CO","SD/Unknown","SD/Unknown","SD/Unknown","WN02","unknown","Human"
