strain	CO	CO_confidence	CO_entropy	country	country_confidence	country_entropy	division	division_confidence	division_entropy	state	state_confidence	state_entropy	trap	trap_confidence	trap_entropy	zone	zone_confidence	zone_entropy	is_terminal	build
NODE_0001512	Not CO	{'Not CO': 0.9999659369273871}	0.0003847699708492838	USA	{'USA': 0.9999996660542938}	5.409761857261398e-06	NY	{'NY': 0.9999982601043301}	2.734227607104005e-05	NY	{'NY': 0.99996433920578}	0.0004494947058126487	NY	{'NY': 0.9999977200788368}	3.589374573248248e-05	NY	{'NY': 0.9999971778784679}	4.354945867084225e-05	False	wnv
NODE_0001514	Not CO	{'Not CO': 0.9992697590814931}	0.006004211052891946	USA	{'USA': 0.9999997508761829}	4.108185529674459e-06	NY	{'NY': 0.9999894892121082}	0.00013495066908928612	NY	{'NY': 0.999906039163962}	0.0010214057200175328	NY	{'NY': 0.9999960660441051}	5.950439272015311e-05	NY	{'NY': 0.9999867201544511}	0.000170307765875321	False	wnv
NODE_0001515	Not CO	{'Not CO': 0.9999772997163484}	0.0002656494405751824	USA	{'USA': 0.9999997500813754}	4.1203496547824425e-06	TX/El-Paso	{'CA/Riverside': 0.1286943360547632, 'CA/Unknown': 0.12746945916475533, 'SD/Unknown': 0.35302806731849623, 'TX/El-Paso': 0.3533993934726747}	1.5724214149078097	TX	{'CA': 0.272886188861379, 'CO': 0.004822755702716185, 'SD': 0.282969845513539, 'TX': 0.4307660210824797}	1.1688660646838265	TX/El-Paso	{'CA/Riverside': 0.11120341911503172, 'CA/Unknown': 0.14236724840707424, 'SD/Unknown': 0.34487846540256917, 'TX/El-Paso': 0.34560629362553685}	1.723135687697452	TX/El-Paso	{'CA/Riverside': 0.1277935859254595, 'CA/Unknown': 0.12725372989985834, 'SD/Unknown': 0.35011680666669137, 'TX/El-Paso': 0.35047997615288334}	1.6227672558622102	False	wnv
NODE_0001516	Not CO	{'FoCo': 0.020022932913345177, 'Not CO': 0.979976885262903}	0.09813148840590963	USA	{'USA': 0.9999995665379855}	6.910036047398266e-06	NY	{'CO/FC': 0.002334074582070692, 'NY': 0.9976510743650904}	0.016703099129629684	NY	{'CO': 0.006780535667552403, 'NY': 0.9930741825532347}	0.042338491342397644	NY	{'FC-088GR': 0.001010301674950497, 'NY': 0.9989056560178872}	0.00919730447654778	NY	{'CO/FC/SE': 0.0025349220406893367, 'NY': 0.9974320196329034}	0.018172192460103407	False	wnv
NODE_0001518	FoCo	{'FoCo': 0.9937225654679424, 'Not CO': 0.006277418345404005}	0.03808951173438642	USA	{'USA': 0.9999986200586621}	2.040281255869194e-05	CO/FC	{'CO/FC': 0.9893545142628084, 'CO/LV': 0.010638859637751078}	0.05902863557627877	CO	{'CO': 0.9999831432734295}	0.0002221025995206014	NY	{'FC-067': 0.08830104394043482, 'FC-092GR': 0.06959262969070788, 'LV-069': 0.15481102560218588, 'NY': 0.5888201868951998}	1.764380120107755	CO/FC/SE	{'CO/FC/NE': 0.09296825562546367, 'CO/FC/SE': 0.8211875797090218, 'CO/LV/LV': 0.0854892343036927}	0.5971697107812752	False	wnv
NODE_0001519	Not CO	{'Not CO': 0.999960540885955}	0.0004399558120957579	USA	{'USA': 0.9999995638797252}	6.947729280554665e-06	TX/El-Paso	{'TX/El-Paso': 0.9991759918596498}	0.007546851753602028	TX	{'TX': 0.9999970197146036}	4.2735718288417396e-05	TX/El-Paso	{'TX/El-Paso': 0.9988994925139622}	0.010338289650979141	TX/El-Paso	{'TX/El-Paso': 0.9989267807176296}	0.009721738256601603	False	wnv
NODE_0001520	Not CO	{'Not CO': 0.9999529856734349}	0.0005159713975873841	USA	{'USA': 0.9999994685360984}	8.362822430526309e-06	TX/El-Paso	{'TX/El-Paso': 0.9999902710259869}	0.00014112766271766593	TX	{'TX': 0.9999934077565749}	9.180805301695435e-05	TX/El-Paso	{'TX/El-Paso': 0.9999821149879681}	0.0002595831104915486	TX/El-Paso	{'TX/El-Paso': 0.9999834174107972}	0.00023480738466462358	False	wnv
NODE_0001521	Not CO	{'Not CO': 0.9999566352620395}	0.00047943042689153496	USA	{'USA': 0.9999995016041193}	7.875230917453277e-06	TX/El-Paso	{'AZ/Maricopa': 0.002716028100726455, 'TX/El-Paso': 0.9970546902031043}	0.022076671439462556	TX	{'AZ': 0.002058804305032846, 'TX': 0.9975548865172291}	0.018802539696017178	TX/El-Paso	{'AZ/Maricopa': 0.003524058609577639, 'TX/El-Paso': 0.9960024984145286}	0.030124973689631913	TX/El-Paso	{'AZ/Maricopa': 0.003492597943188688, 'TX/El-Paso': 0.9961539500841536}	0.02821627254839738	False	wnv
NODE_0001522	Not CO	{'Not CO': 0.9999781779404039}	0.00025623910313869177	USA	{'USA': 0.9999997531176528}	4.07385030039901e-06	AZ/Maricopa	{'AZ/Maricopa': 0.9985093631818343, 'TX/El-Paso': 0.0013758453492716165}	0.01217623890011997	AZ	{'AZ': 0.9980847639922188, 'TX': 0.0017896324091148566}	0.01463958287847448	AZ/Maricopa	{'AZ/Maricopa': 0.9982778156751818, 'TX/El-Paso': 0.001523513250409265}	0.014386895907912079	AZ/Maricopa	{'AZ/Maricopa': 0.9981813180659034, 'TX/El-Paso': 0.0016538817523979968}	0.01468403723593555	False	wnv
NODE_0001523	Not CO	{'Not CO': 0.9999772172133996}	0.0002665310335398149	USA	{'USA': 0.9999997499667559}	4.122100078376136e-06	CA/Unknown	{'CA/Riverside': 0.4944331117215604, 'CA/San-Diego': 0.0029812245221281755, 'CA/Unknown': 0.4977058892344523, 'TX/El-Paso': 0.0018822359952182534}	0.7487017206273233	CA	{'CA': 0.997069164036454, 'TX': 0.0019372074079938965}	0.022773608891626558	CA/Unknown	{'CA/Riverside': 0.43550117606842065, 'CA/San-Diego': 0.0027683630652956983, 'CA/Unknown': 0.5567995721787347, 'TX/El-Paso': 0.001754597115841393}	0.7428560053055699	CA/Unknown	{'CA/Riverside': 0.49196605109110847, 'CA/San-Diego': 0.003388444508687297, 'CA/Unknown': 0.49887103531103894, 'TX/El-Paso': 0.0021425664011875773}	0.7575055778891667	False	wnv
