strain	accession	date	country	state	region	host	lineage	host_genus
LR743428	LR743428	2019-08-18	Germany	Germany/unknown	Europe	bird	2	Bubo
HM488199	HM488199	2007-06-01	USA	USA/unknown	North America	bird	1a	Corvus
GQ851607	GQ851607	1965-06-01	Nigeria	Nigeria/unknown	Africa	unknown	1a	unknown
DQ080069	DQ080069	2003-08-01	Mexico	Mexico/unknown	North America	ungulate	1a	Equus
KX547229	KX547229	2006-08-29	USA	USA/unknown	North America	bird	1a	Cyanocitta
KX547553	KX547553	2006-09-16	USA	USA/unknown	North America	bird	1a	Cyanocitta
KX547605	KX547605	2004-07-11	USA	USA/unknown	North America	bird	1a	Corvus
MF175825	MF175825	2013-08-13	USA	USA/unknown	North America	mosquito	1a	Culex
KP789958	KP789958	2014-06-01	Italy	Italy/unknown	Europe	human	2	Homo
KX547525	KX547525	2002-09-02	USA	USA/unknown	North America	bird	1a	Corvus
FJ159129	FJ159129	2006-06-01	Russia	Russia/unknown	Asia	mosquito	4	Uranotaenia
MH508025	MH508025	2011-08-04	USA	USA/unknown	North America	mosquito	1a	Culex
MN480795	MN480795	2018-08-01	Greece	Greece/unknown	Europe	human	2	Homo
KP780840	KP780840	2014-08-21	Austria	Austria/unknown	Europe	bird	2	Nestor
MF984351	MF984351	2016-06-01	Austria	Austria/unknown	Europe	mosquito	2	Culex
JF957165	JF957165	2006-06-01	USA	USA/unknown	North America	human	1a	Homo
KX547310	KX547310	2003-08-26	USA	USA/unknown	North America	mosquito	1a	Culex
MH244511	MH244511	2013-06-01	Slovakia	Slovakia/unknown	Europe	bird	2	Accipiter
DQ411034	DQ411034	2002-06-01	Russia	Russia/unknown	Asia	mosquito	1a	Anopheles
LR743426	LR743426	2019-08-31	Germany	Germany/unknown	Europe	bird	2	Bubo
MN812762	MN812762	2018-06-01	Russia	Russia/unknown	Asia	human	2	Homo
MH507623	MH507623	2007-03-19	USA	USA/unknown	North America	bird	1a	Corvus
KT207791	KT207791	2014-07-15	Italy	Italy/unknown	Europe	mosquito	2	Culicidae
MN812761	MN812761	2018-06-01	Russia	Russia/unknown	Asia	human	2	Homo
KC736486	KC736486	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MW142223	MW142223	2020-08-01	Germany	Germany/unknown	Europe	human	2	Homo
KF367469	KF367469	2013-03-30	British Virgin Islands	British Virgin Islands/unknown	North America	bird	1a	Phoenicopterus
MH507770	MH507770	2011-08-11	USA	USA/unknown	North America	mosquito	1a	Culex
KC711057	KC711057	2012-05-30	USA	USA/unknown	North America	mosquito	1a	Culex
MH507762	MH507762	2007-07-20	USA	USA/unknown	North America	mosquito	1a	Culex
JX015518	JX015518	2008-09-09	Mexico	Mexico/unknown	North America	mosquito	1a	Culex
GQ851604	GQ851604	1957-06-01	India	India/unknown	Asia	unknown	5	unknown
KF647248	KF647248	2013-08-01	Italy	Italy/unknown	Europe	human	2	Homo
MH507751	MH507751	2017-08-03	USA	USA/unknown	North America	bird	1a	Corvus
KM203861	KM203861	2013-08-08	Czech Republic	Czech Republic/unknown	Europe	mosquito	2	Culex
HM488205	HM488205	2008-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KR348931	KR348931	2009-01-09	USA	USA/unknown	North America	mosquito	1a	Culex
LR743433	LR743433	2018-09-01	Germany	Germany/unknown	Europe	bird	2	Accipiter
JX041631	JX041631	1980-06-01	Ukraine	Ukraine/unknown	Europe	bird	2	unknown
MH507615	MH507615	2014-10-07	USA	USA/unknown	North America	bird	1a	Corvus
KJ501238	KJ501238	2008-06-01	USA	USA/unknown	North America	bird	1a	Larus
MF175826	MF175826	2013-08-13	USA	USA/unknown	North America	mosquito	1a	Culex
MH507843	MH507843	2007-06-25	USA	USA/unknown	North America	bird	1a	Aphelocoma
JF957168	JF957168	2007-06-01	USA	USA/unknown	North America	human	1a	Homo
GQ379158	GQ379158	2007-08-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH507951	MH507951	2008-09-26	USA	USA/unknown	North America	bird	1a	Corvus
KJ501150	KJ501150	2011-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
LR743421	LR743421	2019-08-30	Germany	Germany/unknown	Europe	bird	2	Parus
JN716372	JN716372	2008-07-01	Colombia	Colombia/unknown	South America	bird	1a	Phoenicopterus
KX394389	KX394389	1974-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
JF957172	JF957172	2007-06-01	USA	USA/unknown	North America	bird	1a	unknown
MH507941	MH507941	2007-08-15	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501276	KJ501276	2002-06-01	USA	USA/unknown	North America	bird	1a	Bubo
MF984344	MF984344	2015-06-01	Austria	Austria/unknown	Europe	bird	2	Accipiter
MH819454	MH819454	2006-08-29	Canada	Canada/unknown	North America	mosquito	1a	Culex
MF175874	MF175874	2015-08-19	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501223	KJ501223	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
FJ483549	FJ483549	2008-06-01	Italy	Italy/unknown	Europe	bird	1a	Corvus
DQ176637	DQ176637	2002-08-01	USA	USA/unknown	North America	bird	1a	Quiscalus
MN939562	MN939562	2018-06-01	Italy	Italy/unknown	Europe	human	2	Homo
MK947396	MK947396	2018-06-01	Slovenia	Slovenia/unknown	Europe	mosquito	2	Culicidae
EF429200	EF429200	1958-06-01	South Africa	South Africa/unknown	Africa	human	2	Homo
KT934802	KT934802	2009-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
KT934801	KT934801	2011-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
DQ080063	DQ080063	2003-08-01	Mexico	Mexico/unknown	North America	bird	1a	Columbidae
JN716371	JN716371	2008-07-01	Colombia	Colombia/unknown	South America	bird	1a	Phoenicopterus
MT863559	MT863559	2015-10-03	France	France/unknown	Europe	ungulate	1a	Equus
MH170257	MH170257	2005-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH507721	MH507721	2010-08-02	USA	USA/unknown	North America	bird	1a	Aphelocoma
HM488152	HM488152	2005-06-01	USA	USA/unknown	North America	mosquito	1a	Aedes
KC333377	KC333377	2012-06-14	USA	USA/unknown	North America	bird	1a	Cyanocitta
KJ501362	KJ501362	2001-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KJ501228	KJ501228	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KX547376	KX547376	2010-09-16	USA	USA/unknown	North America	mosquito	1a	Culex
MH643887	MH643887	2018-04-26	Brazil	Brazil/unknown	South America	ungulate	1a	Equus
KU573077	KU573077	2008-06-01	Italy	Italy/unknown	Europe	bird	1a	Pica
KJ501327	KJ501327	2003-06-01	USA	USA/unknown	North America	bird	1a	Haliaeetus
KC243146	KC243146	2010-11-27	Kenya	Kenya/unknown	Africa	tick	1a	Rhipicephalus
KF647249	KF647249	2013-08-01	Italy	Italy/unknown	Europe	human	2	Homo
KX394408	KX394408	1963-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
KJ501359	KJ501359	2003-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KT934800	KT934800	2009-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
KJ501533	KJ501533	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culicidae
MH507640	MH507640	2008-09-15	USA	USA/unknown	North America	bird	1a	Corvus
DQ786572	DQ786572	2004-10-18	France	France/unknown	Europe	bird	1a	Passer
KU978768	KU978768	1963-06-01	Russia	Russia/unknown	Asia	tick	1a	Hyalomma
FJ483548	FJ483548	2008-06-01	Italy	Italy/unknown	Europe	bird	1a	Corvus
KU206781	KU206781	2015-08-27	Bulgaria	Bulgaria/unknown	Europe	human	2	Homo
KJ883349	KJ883349	2013-06-01	Greece	Greece/unknown	Europe	human	2	Homo
EF429198	EF429198	2001-06-01	South Africa	South Africa/unknown	Africa	human	2	Homo
MH819448	MH819448	2005-08-31	Canada	Canada/unknown	North America	mosquito	1a	Culex
KX547523	KX547523	2005-07-16	USA	USA/unknown	North America	bird	1a	Corvus
MH170268	MH170268	2007-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
KX547539	KX547539	2007-08-22	USA	USA/unknown	North America	bird	1a	Corvus
MH819470	MH819470	2014-09-15	Canada	Canada/unknown	North America	mosquito	1a	Culex
KR348995	KR348995	2005-08-23	USA	USA/unknown	North America	mosquito	1a	Culex
KX394397	KX394397	1960-06-01	Australia	Australia/unknown	Oceania	unknown	kunjin	unknown
MZ964752	MZ964752	2021-08-01	Germany	Germany/unknown	Europe	human	2	Homo
MF175861	MF175861	2015-08-19	USA	USA/unknown	North America	mosquito	1a	Culex
KX547570	KX547570	2005-09-02	USA	USA/unknown	North America	bird	1a	Cyanocitta
MH507745	MH507745	2017-06-23	USA	USA/unknown	North America	bird	1a	Corvus
HM488114	HM488114	2002-06-01	USA	USA/unknown	North America	mosquito	1a	Aedes
LR743431	LR743431	2019-09-04	Germany	Germany/unknown	Europe	bird	2	Pluvialis
KJ501430	KJ501430	2006-06-01	USA	USA/unknown	North America	bird	1a	Pelecanus
FJ766332	FJ766332	2007-10-01	Spain	Spain/unknown	Europe	bird	1a	Aquila
MF984342	MF984342	2015-06-01	Austria	Austria/unknown	Europe	human	2	Homo
GQ903680	GQ903680	1968-06-01	Cyprus	Cyprus/unknown	Europe	unknown	2	unknown
HM488188	HM488188	2004-06-01	USA	USA/unknown	North America	bird	1a	Corvus
JX041630	JX041630	1967-06-01	Azerbaijan	Azerbaijan/unknown	Europe	bird	1a	unknown
LR743446	LR743446	2019-08-19	Germany	Germany/unknown	Europe	bird	2	Trichoglossus
KX547280	KX547280	2012-09-10	USA	USA/unknown	North America	mosquito	1a	Culiseta
KY782108	KY782108	2010-08-24	USA	USA/unknown	North America	bird	1a	Turdus
MH507634	MH507634	2008-08-07	USA	USA/unknown	North America	bird	1a	Aphelocoma
LR743424	LR743424	2019-08-04	Germany	Germany/unknown	Europe	bird	2	Bubo
DQ666451	DQ666451	2005-08-01	USA	USA/unknown	North America	human	1a	Homo
KJ501270	KJ501270	2002-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
MH924836	MH924836	2018-08-22	Germany	Germany/unknown	Europe	bird	2	Strix
KP780839	KP780839	2011-03-14	Austria	Austria/unknown	Europe	bird	2	Nestor
KU978766	KU978766	2008-07-01	Colombia	Colombia/unknown	South America	bird	1a	Phoenicopterus
KJ501481	KJ501481	2002-06-01	USA	USA/unknown	North America	bird	1a	Corvus
HM488219	HM488219	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KJ883346	KJ883346	2013-06-01	Greece	Greece/unknown	Europe	human	2	Homo
KJ501182	KJ501182	2011-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KY782106	KY782106	2012-07-25	USA	USA/unknown	North America	bird	1a	Spinus
KX547190	KX547190	2013-07-12	USA	USA/unknown	North America	mosquito	1a	Culex
DQ411031	DQ411031	2001-06-01	Russia	Russia/unknown	Asia	bird	1a	Corvus
MH507949	MH507949	2008-05-22	USA	USA/unknown	North America	bird	1a	Corvus
KU573079	KU573079	2009-06-01	Italy	Italy/unknown	Europe	bird	1a	Pica
KJ501232	KJ501232	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501392	KJ501392	2003-06-01	USA	USA/unknown	North America	bird	1a	Pelecanus
MH507675	MH507675	2015-08-14	USA	USA/unknown	North America	mosquito	1a	Culicidae
MH819452	MH819452	2015-09-15	Canada	Canada/unknown	North America	mosquito	1a	Culex
KX547520	KX547520	2012-09-11	USA	USA/unknown	North America	mosquito	1a	Culex
MH508000	MH508000	2010-06-25	USA	USA/unknown	North America	mosquito	1a	Culex
HM488250	HM488250	2003-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KX547168	KX547168	2012-09-27	USA	USA/unknown	North America	bird	1a	Haemorhous
DQ164193	DQ164193	2002-06-01	USA	USA/unknown	North America	bird	1a	Corvus
MN939558	MN939558	2016-06-01	Italy	Italy/unknown	Europe	human	2	Homo
MT341470	MT341470	2019-07-01	Greece	Greece/unknown	Europe	mosquito	2	Culex
MH507773	MH507773	2012-08-27	USA	USA/unknown	North America	mosquito	1a	Culex
MH507769	MH507769	2010-08-12	USA	USA/unknown	North America	mosquito	1a	Culex
MH819451	MH819451	2005-08-12	Canada	Canada/unknown	North America	mosquito	1a	Culex
KJ577738	KJ577738	2013-06-01	Greece	Greece/unknown	Europe	human	2	Homo
DQ080065	DQ080065	2003-08-01	Mexico	Mexico/unknown	North America	bird	1a	Quiscalus
MH507910	MH507910	2005-07-06	USA	USA/unknown	North America	mosquito	1a	Culex
KX547597	KX547597	2004-09-14	USA	USA/unknown	North America	bird	1a	Cyanocitta
KR348988	KR348988	2008-12-09	USA	USA/unknown	North America	mosquito	1a	Culex
MH507853	MH507853	2008-06-27	USA	USA/unknown	North America	bird	1a	Calypte
MT863560	MT863560	2018-09-08	France	France/unknown	Europe	bird	2	Buteo
KJ501142	KJ501142	2011-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KX547327	KX547327	2006-08-24	USA	USA/unknown	North America	bird	1a	Corvus
HM488159	HM488159	2006-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KT934796	KT934796	1984-06-01	Australia	Australia/unknown	Oceania	ungulate	kunjin	Equus
KX547312	KX547312	2004-05-20	USA	USA/unknown	North America	bird	1a	Corvus
KJ501374	KJ501374	2001-06-01	USA	USA/unknown	North America	bird	1a	Buteo
KJ501368	KJ501368	2002-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KJ145817	KJ145817	2002-06-01	USA	USA/unknown	North America	bird	1a	Corvus
JX442279	JX442279	2011-06-01	China	China/unknown	Asia	mosquito	1a	Culex
MH507847	MH507847	2007-07-05	USA	USA/unknown	North America	bird	1a	Aphelocoma
MH507960	MH507960	2014-08-13	USA	USA/unknown	North America	bird	1a	Corvus
KP109692	KP109692	2014-06-01	Austria	Austria/unknown	Europe	mosquito	2	Culex
HM488218	HM488218	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MN794939	MN794939	2019-06-01	Germany	Germany/unknown	Europe	bird	2	Prunella
KT757318	KT757318	2013-06-01	Serbia	Serbia/unknown	Europe	mosquito	2	Culex
KX394381	KX394381	1975-06-01	Australia	Australia/unknown	Oceania	unknown	kunjin	unknown
KX394411	KX394411	1978-06-01	Australia	Australia/unknown	Oceania	unknown	kunjin	unknown
KJ501251	KJ501251	2009-06-01	USA	USA/unknown	North America	bird	1a	Corvus
FJ766331	FJ766331	2007-10-01	Spain	Spain/unknown	Europe	bird	1a	Aquila
MF175868	MF175868	2014-06-03	USA	USA/unknown	North America	mosquito	1a	Culex
MH507689	MH507689	2017-08-28	USA	USA/unknown	North America	mosquito	1a	Culicidae
KJ501198	KJ501198	2010-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KR349005	KR349005	2011-01-09	USA	USA/unknown	North America	mosquito	1a	Culex
MH170260	MH170260	2009-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MN481597	MN481597	2012-08-27	Greece	Greece/unknown	Europe	bird	2	Gallus
GQ851606	GQ851606	1979-06-01	Senegal	Senegal/unknown	Africa	unknown	1a	unknown
MF984340	MF984340	2015-06-01	Austria	Austria/unknown	Europe	human	2	Homo
LC489409	LC489409	2019-06-01	Zambia	Zambia/unknown	Africa	reptile	1a	Crocodylus
KX547421	KX547421	2002-08-15	USA	USA/unknown	North America	bird	1a	Corvus
LR743436	LR743436	2018-09-10	Germany	Germany/unknown	Europe	bird	2	Accipiter
KJ883350	KJ883350	2013-06-01	Greece	Greece/unknown	Europe	human	2	Homo
GU011992	GU011992	2009-06-01	Italy	Italy/unknown	Europe	human	1a	Homo
LR989893	LR989893	2018-06-01	Germany	Germany/unknown	Europe	bird	2	Bubo
GQ851602	GQ851602	1960-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
AY268132	AY268132	2000-06-01	France	France/unknown	Europe	ungulate	1a	unknown
MT968004	MT968004	2014-06-01	USA	USA/unknown	North America	mosquito	1a	Culicidae
KX547398	KX547398	2002-08-23	USA	USA/unknown	North America	bird	1a	Corvus
KX394392	KX394392	1963-06-01	Australia	Australia/unknown	Oceania	unknown	kunjin	unknown
HM488191	HM488191	2004-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KC496016	KC496016	2010-06-01	Serbia	Serbia/unknown	Europe	mosquito	2	Culex
MF175877	MF175877	2015-11-11	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501221	KJ501221	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH819456	MH819456	2013-09-09	Canada	Canada/unknown	North America	mosquito	1a	Culex
MH819447	MH819447	2013-08-26	Canada	Canada/unknown	North America	mosquito	1a	Culex
HM488155	HM488155	2006-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH507715	MH507715	2009-06-18	USA	USA/unknown	North America	bird	1a	Haemorhous
KX547289	KX547289	2005-10-05	USA	USA/unknown	North America	bird	1a	Corvus
KX394386	KX394386	1974-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
DQ080068	DQ080068	2003-08-01	Mexico	Mexico/unknown	North America	bird	1a	unknown
MH819463	MH819463	2014-08-21	Canada	Canada/unknown	North America	mosquito	1a	Culex
KF823805	KF823805	2013-08-01	Italy	Italy/unknown	Europe	human	2	Homo
MH507686	MH507686	2017-10-05	USA	USA/unknown	North America	bird	1a	Corvus
MH507825	MH507825	2017-08-02	USA	USA/unknown	North America	mosquito	1a	Culex
KM012171	KM012171	2012-06-01	USA	USA/unknown	North America	human	1a	Homo
MF984341	MF984341	2015-06-01	Austria	Austria/unknown	Europe	human	2	Homo
DQ116961	DQ116961	2004-06-01	Hungary	Hungary/unknown	Europe	bird	2	Accipiter
HM488195	HM488195	2005-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
MH244510	MH244510	2014-06-01	Slovakia	Slovakia/unknown	Europe	bird	2	Accipiter
KX394409	KX394409	1963-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
AF481864	AF481864	1998-08-28	Israel	Israel/unknown	Asia	bird	1a	Ciconiidae
LR743437	LR743437	2018-08-31	Germany	Germany/unknown	Europe	bird	2	Strix
MH170275	MH170275	2002-06-01	USA	USA/unknown	North America	bird	1a	Corvus
DQ411032	DQ411032	2002-06-01	Russia	Russia/unknown	Asia	bird	1a	Columba
MN812757	MN812757	2018-06-01	Russia	Russia/unknown	Asia	mosquito	2	Culex
MF175850	MF175850	2015-07-21	USA	USA/unknown	North America	mosquito	1a	Culex
JX041633	JX041633	1963-06-01	Russia	Russia/unknown	Asia	tick	1a	Hyalomma
KF234080	KF234080	2009-06-01	Italy	Italy/unknown	Europe	human	1a	Homo
KJ501515	KJ501515	2001-06-01	USA	USA/unknown	North America	bird	1a	Buteo
KX394385	KX394385	1974-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
HM488221	HM488221	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culiseta
HM756677	HM756677	2005-06-01	USA	USA/unknown	North America	bird	1a	Loriini
MN619802	MN619802	2018-06-01	Russia	Russia/unknown	Asia	mosquito	2	Culex
KJ501478	KJ501478	2003-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
MH507718	MH507718	2010-07-21	USA	USA/unknown	North America	bird	1a	Aphelocoma
MH244512	MH244512	2013-06-01	Slovakia	Slovakia/unknown	Europe	bird	2	Accipiter
MN794938	MN794938	2019-06-01	Germany	Germany/unknown	Europe	bird	2	Passer
LR989885	LR989885	2019-06-01	Germany	Germany/unknown	Europe	bird	2	Larus
KX547386	KX547386	2000-07-21	USA	USA/unknown	North America	mosquito	1a	Culex
KC601756	KC601756	2011-02-01	India	India/unknown	Asia	human	1a	Homo
KX547261	KX547261	2002-09-04	USA	USA/unknown	North America	bird	1a	Passer
KT934799	KT934799	2000-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
MF175843	MF175843	2015-06-23	USA	USA/unknown	North America	mosquito	1a	Culex
KX394394	KX394394	1978-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
KJ883345	KJ883345	2013-06-01	Greece	Greece/unknown	Europe	human	2	Homo
KX547171	KX547171	2011-08-03	USA	USA/unknown	North America	mosquito	1a	Culiseta
MH508027	MH508027	2012-06-19	USA	USA/unknown	North America	mosquito	1a	Culex
KT757320	KT757320	2013-06-01	Serbia	Serbia/unknown	Europe	mosquito	2	Culex
KX547308	KX547308	2004-09-30	USA	USA/unknown	North America	bird	1a	Cyanocitta
JF920757	JF920757	2008-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KU978770	KU978770	1988-02-12	India	India/unknown	Asia	human	5	Homo
KJ501425	KJ501425	2007-06-01	USA	USA/unknown	North America	bird	1a	Pelecanus
MH819446	MH819446	2015-10-06	Canada	Canada/unknown	North America	mosquito	1a	Culex
KX547358	KX547358	2013-09-20	USA	USA/unknown	North America	mosquito	1a	Culex
KX547352	KX547352	2008-08-14	USA	USA/unknown	North America	mosquito	1a	Culex
MT968008	MT968008	2017-06-01	USA	USA/unknown	North America	mosquito	1a	Culicidae
KX394384	KX394384	1974-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
LR989891	LR989891	2019-06-01	Germany	Germany/unknown	Europe	bird	2	Mergus
MF175820	MF175820	2013-09-10	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501134	KJ501134	2010-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KX394402	KX394402	1960-06-01	Australia	Australia/unknown	Oceania	unknown	kunjin	unknown
MW383508	MW383508	2020-06-01	Namibia	Namibia/unknown	Africa	mosquito	2	Culex
KJ501454	KJ501454	2001-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KY782117	KY782117	2010-08-18	USA	USA/unknown	North America	mosquito	1a	Culex
LR743443	LR743443	2018-09-05	Germany	Germany/unknown	Europe	bird	2	Bubo
KJ883341	KJ883341	2013-06-01	Greece	Greece/unknown	Europe	human	2	Homo
MH507785	MH507785	2013-08-28	USA	USA/unknown	North America	mosquito	1a	Culex
HM488116	HM488116	2005-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH507777	MH507777	2012-08-29	USA	USA/unknown	North America	mosquito	1a	Culex
MH507907	MH507907	2005-07-01	USA	USA/unknown	North America	mosquito	1a	Culex
KU978769	KU978769	2003-05-30	Mexico	Mexico/unknown	North America	bird	1a	Corvus
HM147822	HM147822	1958-06-01	South Africa	South Africa/unknown	Africa	unknown	2	unknown
KX547219	KX547219	2007-08-30	USA	USA/unknown	North America	mosquito	1a	Culex
MN939559	MN939559	2016-06-01	Italy	Italy/unknown	Europe	human	2	Homo
MF984339	MF984339	2015-06-01	Austria	Austria/unknown	Europe	human	2	Homo
KM203863	KM203863	2013-08-08	Czech Republic	Czech Republic/unknown	Europe	mosquito	2	Culex
MH507707	MH507707	2007-06-24	USA	USA/unknown	North America	bird	1a	Aphelocoma
KJ501105	KJ501105	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501539	KJ501539	2011-06-01	USA	USA/unknown	North America	mosquito	1a	Culicidae
AY701413	AY701413	2003-06-01	Morocco	Morocco/unknown	Africa	ungulate	1a	Equus
MW915462	MW915462	2017-09-01	Spain	Spain/unknown	Europe	bird	1a	Accipiter
MF175818	MF175818	2013-09-26	USA	USA/unknown	North America	mosquito	1a	Culex
HM051416	HM051416	1953-06-01	Israel	Israel/unknown	Asia	human	1a	Homo
KX394404	KX394404	1963-06-01	Australia	Australia/unknown	Oceania	mosquito	kunjin	Culex
KJ501244	KJ501244	2001-06-01	USA	USA/unknown	North America	bird	1a	Corvus
MF175806	MF175806	2012-09-24	USA	USA/unknown	North America	mosquito	1a	Culex
KF647253	KF647253	2013-08-01	Italy	Italy/unknown	Europe	human	1a	Homo
MT967989	MT967989	2013-06-01	USA	USA/unknown	North America	mosquito	1a	Culicidae
KX547180	KX547180	2006-09-07	USA	USA/unknown	North America	bird	1a	Corvus
KJ501472	KJ501472	2003-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KJ501287	KJ501287	2002-06-01	USA	USA/unknown	North America	bird	1a	Cyanocitta
DQ080060	DQ080060	2004-08-01	Mexico	Mexico/unknown	North America	bird	1a	Corvus
EU249803	EU249803	1968-06-01	India	India/unknown	Asia	bat	1a	Rousettus
MT968023	MT968023	2016-06-01	USA	USA/unknown	North America	mosquito	1a	Culicidae
KX547247	KX547247	2002-08-14	USA	USA/unknown	North America	mosquito	1a	Culex
LR743456	LR743456	2019-08-26	Germany	Germany/unknown	Europe	bird	2	Passer
MZ605382	MZ605382	2004-06-01	Hungary	Hungary/unknown	Europe	bird	2	Accipiter
KJ501140	KJ501140	2011-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
LR743451	LR743451	2019-09-04	Germany	Germany/unknown	Europe	bird	2	Bubo
KJ934710	KJ934710	2013-08-27	Romania	Romania/unknown	Europe	tick	2	Hyalomma
LR743454	LR743454	2019-09-09	Germany	Germany/unknown	Europe	bird	2	Parus
MF984346	MF984346	2016-06-01	Austria	Austria/unknown	Europe	human	2	Homo
MF984345	MF984345	2015-06-01	Austria	Austria/unknown	Europe	bird	2	Falco
MH170272	MH170272	2007-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
KJ501516	KJ501516	2001-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KX547482	KX547482	2013-08-07	USA	USA/unknown	North America	mosquito	1a	Culiseta
DQ080070	DQ080070	2003-08-01	Mexico	Mexico/unknown	North America	bird	1a	Quiscalus
MH819461	MH819461	2004-09-07	Canada	Canada/unknown	North America	mosquito	1a	Culex
MW142224	MW142224	2020-08-01	Germany	Germany/unknown	Europe	human	2	Homo
MN794937	MN794937	2019-06-01	Germany	Germany/unknown	Europe	bird	2	Turdus
DQ374652	DQ374652	2004-06-01	Russia	Russia/unknown	Asia	bird	1a	Corvus
MN480794	MN480794	2018-09-01	Greece	Greece/unknown	Europe	mosquito	2	Culex
HM756663	HM756663	2001-06-01	USA	USA/unknown	North America	bird	1a	Corvus
KX547497	KX547497	2012-08-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH166883	MH166883	2002-06-01	USA	USA/unknown	North America	bird	1a	unknown
MH507797	MH507797	2014-07-07	USA	USA/unknown	North America	mosquito	1a	Culex
MH507997	MH507997	2009-09-04	USA	USA/unknown	North America	mosquito	1a	Culex
MN939564	MN939564	2016-06-01	Italy	Italy/unknown	Europe	human	2	Homo
JF957180	JF957180	2009-06-01	USA	USA/unknown	North America	human	1a	Homo
KJ501222	KJ501222	2012-06-01	USA	USA/unknown	North America	mosquito	1a	Culex
MH507986	MH507986	2016-04-14	USA	USA/unknown	North America	bird	1a	Corvus
DQ786573	DQ786573	2004-10-21	France	France/unknown	Europe	bird	1a	Pica
KX547332	KX547332	2005-08-08	USA	USA/unknown	North America	bird	1a	Corvus
GQ851608	GQ851608	1967-06-01	Central African Republic	Central African Republic/unknown	Africa	unknown	1a	unknown
MF175829	MF175829	2013-08-06	USA	USA/unknown	North America	mosquito	1a	Culex
MH508017	MH508017	2011-07-13	USA	USA/unknown	North America	mosquito	1a	Culex
MF984349	MF984349	2016-06-01	Austria	Austria/unknown	Europe	ungulate	2	Equus
HM488232	HM488232	2003-06-01	USA	USA/unknown	North America	mosquito	1a	Culiseta
KC496015	KC496015	2010-06-01	Hungary	Hungary/unknown	Europe	ungulate	2	Equus
MN794936	MN794936	2019-06-01	Germany	Germany/unknown	Europe	human	2	Homo
KT207792	KT207792	2014-08-18	Italy	Italy/unknown	Europe	mosquito	2	Culicidae
KJ501377	KJ501377	2001-06-01	USA	USA/unknown	North America	bird	1a	Bubo
