"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"DQ080070/2003/Mexico/MEX/SON/Unknown/SW03/unknown/Bird-other","DQ080070",2003-08-01,2003,"Mexico","MEX/SON","Not CO","MEX/SON/Unknown","MEX/SON/Unknown","MEX/SON/Unknown","SW03","unknown","Bird-other"
"JX015518/2008/Mexico/MEX/CHH/Ciudad_Juarez/SW03/unknown/Mosquito-Culex","JX015518",2008-09-09,2008,"Mexico","MEX/CHH","Not CO","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","SW03","unknown","Mosquito-Culex"
"JX015520/2009/Mexico/MEX/CHH/Ciudad_Juarez/SW03/unknown/Mosquito-Culex","JX015520",2009-08-11,2009,"Mexico","MEX/CHH","Not CO","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","MEX/CHH/Ciudad_Juarez","SW03","unknown","Mosquito-Culex"
"AF196835/1999/USA/NY/Bronx/NY99/unknown/Bird-other","AF196835",1999-09-15,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-other"
"AF202541/1999/USA/NY/Madison/NY99/unknown/Human","AF202541",1999-08-28,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Human"
"AF206518/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex","AF206518",1999-09-14,1999,"USA","CT","Not CO","CT","CT","CT","NY99","unknown","Mosquito-Culex"
"AF260967/1999/USA/NY/New_York/NY99/unknown/Horse","AF260967",1999-08-01,1999,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Horse"
"AF404753/2000/USA/MD/Baltimore/NY99/unknown/Bird-crow","AF404753",2000-08-01,2000,"USA","MD","Not CO","MD","MD","MD","NY99","unknown","Bird-crow"
"AF404754/2000/USA/NJ/Bergen/NY99/unknown/Mosquito-Culex","AF404754",2000-08-01,2000,"USA","NJ","Not CO","NJ/Bergen","NJ/Bergen","NJ/Bergen","NY99","unknown","Mosquito-Culex"
"AF404755/2000/USA/NY/Oswego/NY99/unknown/Bird-other","AF404755",2000-08-01,2000,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-other"
"AF404756/2000/USA/NY/Rockland/NY99/unknown/Bird-crow","AF404756",2000-08-01,2000,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"AF533540/2001/USA/NY/Nassau/NY99/unknown/Human","AF533540",2001-09-15,2001,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Human"
"AY289214/2002/USA/TX/Jefferson/NY99/unknown/Human","AY289214",2002-08-15,2002,"USA","TX","Not CO","TX/Jefferson","TX/Jefferson","TX/Jefferson","NY99","unknown","Human"
"AY646354/2002/USA/NY/Madison/WN02/unknown/Human","AY646354",2002-08-01,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Human"
"AY712945/2003/USA/TX/Harris/WN02/unknown/Bird-other","AY712945",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"AY712946/2003/USA/TX/Harris/WN02/unknown/Bird-other","AY712946",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"AY712947/2003/USA/TX/Harris/WN02/unknown/Bird-other","AY712947",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Bird-other"
"AY712948/2003/USA/TX/Harris/WN02/unknown/Mosquito-Culex","AY712948",2003-08-01,2003,"USA","TX","Not CO","TX/Harris","TX/Harris","TX/Harris","WN02","unknown","Mosquito-Culex"
"AY795965/2002/USA/MI/Isabella/WN02/unknown/Unknown","AY795965",2002-08-01,2002,"USA","MI","Not CO","MI","MI","MI","WN02","unknown","Unknown"
