"strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"KX547545/2007/USA/NY/Monroe/WN02/unknown/Bird-crow","KX547545",2007-09-28,2007,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547546/2006/USA/NY/Otsego/WN02/unknown/Bird-crow","KX547546",2006-09-19,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547547/2012/USA/NY/Oswego/WN02/unknown/Mosquito-Culiseta","KX547547",2012-08-23,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547548/2014/USA/NY/Oswego/WN02/unknown/Mosquito-Culiseta","KX547548",2014-09-02,2014,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547549/2003/USA/NY/Cortland/WN02/unknown/Bird-crow","KX547549",2003-10-02,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547550/2003/USA/NY/Onondaga/WN02/unknown/Mosquito-Culiseta","KX547550",2003-09-04,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547551/2013/USA/NY/Onondaga/WN02/unknown/Mosquito-Culiseta","KX547551",2013-10-03,2013,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547552/2010/USA/NY/Kings/SW03/unknown/Bird-other","KX547552",2010-09-16,2010,"USA","NY","Not CO","NY","NY","NY","SW03","unknown","Bird-other"
"KX547553/2006/USA/NY/Jefferson/WN02/unknown/Bird-other","KX547553",2006-09-16,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547554/2002/USA/NY/Bronx/NY99/unknown/Bird-other","KX547554",2002-09-12,2002,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-other"
"KX547555/2012/USA/NY/Orange/WN02/unknown/Mosquito-Culex","KX547555",2012-07-17,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547556/2012/USA/NY/Oswego/WN02/unknown/Mosquito-Culiseta","KX547556",2012-09-06,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547557/2009/USA/NY/Suffolk/WN02/unknown/Bird-other","KX547557",2009-09-22,2009,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547558/2008/USA/NY/Nassau/WN02/unknown/Mosquito-Culex","KX547558",2008-09-04,2008,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547559/2012/USA/NY/Nassau/WN02/unknown/Mosquito-Culex","KX547559",2012-09-11,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547560/2005/USA/NY/Suffolk/WN02/unknown/Bird-other","KX547560",2005-09-17,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547561/2009/USA/NY/Suffolk/WN02/unknown/Bird-crow","KX547561",2009-09-01,2009,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547562/2010/USA/NY/Erie/WN02/unknown/Mosquito-Culex","KX547562",2010-07-27,2010,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547563/2006/USA/NY/Westchester/WN02/unknown/Mosquito-Culex","KX547563",2006-08-09,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547564/2002/USA/NY/Suffolk/NY99/unknown/Bird-crow","KX547564",2002-08-19,2002,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"KX547565/2013/USA/NY/Onondaga/WN02/unknown/Mosquito-Culiseta","KX547565",2013-09-24,2013,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547566/2002/USA/NY/Onondaga/WN02/unknown/Mosquito-Culex","KX547566",2002-07-24,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547567/2006/USA/NY/Cortland/WN02/unknown/Bird-crow","KX547567",2006-08-26,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547568/2010/USA/NY/Albany/WN02/unknown/Bird-crow","KX547568",2010-08-20,2010,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547569/2006/USA/NY/Chautauqua/WN02/unknown/Bird-crow","KX547569",2006-08-09,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547570/2005/USA/NY/Rockland/WN02/unknown/Bird-other","KX547570",2005-09-02,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547571/2005/USA/NY/Rockland/WN02/unknown/Bird-crow","KX547571",2005-09-13,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547572/2010/USA/NY/Nassau/WN02/unknown/Mosquito-Culex","KX547572",2010-07-06,2010,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547573/2003/USA/NY/Niagara/WN02/unknown/Mosquito-Culex","KX547573",2003-08-04,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547574/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KX547574",2012-07-10,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547575/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KX547575",2012-06-20,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547576/2011/USA/NY/Onondaga/WN02/unknown/Bird-other","KX547576",2011-10-07,2011,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547577/2004/USA/NY/Herkimer/WN02/unknown/Bird-crow","KX547577",2004-07-14,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547578/2005/USA/NY/Queens/WN02/unknown/Bird-other","KX547578",2005-10-18,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547579/2012/USA/NY/Nassau/WN02/unknown/Mosquito-Aedes","KX547579",2012-07-20,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Aedes"
"KX547580/2008/USA/NY/Niagara/WN02/unknown/Bird-crow","KX547580",2008-08-13,2008,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547581/2003/USA/NY/Putnam/WN02/unknown/Mosquito-Culex","KX547581",2003-07-29,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547582/2010/USA/NY/Rockland/WN02/unknown/Mosquito-Culex","KX547582",2010-07-02,2010,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547583/2004/USA/NY/Suffolk/WN02/unknown/Bird-crow","KX547583",2004-06-04,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547584/2002/USA/NY/Chemung/NY99/unknown/Bird-crow","KX547584",2002-09-06,2002,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Bird-crow"
"KX547585/2009/USA/NY/Albany/SW03/unknown/Bird-crow","KX547585",2009-09-02,2009,"USA","NY","Not CO","NY","NY","NY","SW03","unknown","Bird-crow"
"KX547586/2002/USA/NY/Dutchess/WN02/unknown/Mosquito-Culex","KX547586",2002-09-19,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547587/2006/USA/NY/Suffolk/WN02/unknown/Bird-other","KX547587",2006-08-03,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547588/2004/USA/NY/Kings/WN02/unknown/Bird-other","KX547588",2004-08-27,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547589/2007/USA/NY/Queens/WN02/unknown/Bird-other","KX547589",2007-08-24,2007,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547590/2004/USA/NY/Queens/WN02/unknown/Bird-other","KX547590",2004-09-09,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547591/2004/USA/NY/Rockland/WN02/unknown/Bird-other","KX547591",2004-09-02,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547592/2003/USA/NY/Albany/WN02/unknown/Mosquito-Culex","KX547592",2003-08-22,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547593/2003/USA/NY/Washington/WN02/unknown/Bird-other","KX547593",2003-09-28,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547594/2013/USA/NY/Westchester/WN02/unknown/Mosquito-Aedes","KX547594",2013-07-31,2013,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Aedes"
"KX547595/2007/USA/NY/Dutchess/WN02/unknown/Bird-crow","KX547595",2007-08-23,2007,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547596/2005/USA/NY/Suffolk/WN02/unknown/Bird-other","KX547596",2005-08-11,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547597/2004/USA/NY/Richmond/WN02/unknown/Bird-other","KX547597",2004-09-14,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KX547598/2009/USA/NY/Dutchess/WN02/unknown/Bird-crow","KX547598",2009-09-03,2009,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547599/2005/USA/NY/Westchester/WN02/unknown/Mosquito-Culex","KX547599",2005-09-29,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547600/2010/USA/NY/Rensselaer/WN02/unknown/Bird-crow","KX547600",2010-09-13,2010,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547601/2010/USA/NY/Nassau/WN02/unknown/Mosquito-Aedes","KX547601",2010-08-09,2010,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Aedes"
"KX547602/2000/USA/NY/Westchester/NY99/unknown/Mosquito-Culex","KX547602",2000-09-01,2000,"USA","NY","Not CO","NY","NY","NY","NY99","unknown","Mosquito-Culex"
"KX547603/2002/USA/NY/Saratoga/WN02/unknown/Bird-crow","KX547603",2002-09-20,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547604/2013/USA/NY/Erie/WN02/unknown/Mosquito-Culex","KX547604",2013-08-28,2013,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547605/2004/USA/NY/Lewis/WN02/unknown/Bird-crow","KX547605",2004-07-11,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547606/2008/USA/NY/Rockland/WN02/unknown/Mosquito-Culex","KX547606",2008-08-01,2008,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547607/2006/USA/NY/Erie/WN02/unknown/Mosquito-Culex","KX547607",2006-08-28,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547608/2009/USA/NY/Erie/WN02/unknown/Mosquito-Culex","KX547608",2009-08-25,2009,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547609/2003/USA/NY/Albany/WN02/unknown/Squirrel","KX547609",2003-09-25,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Squirrel"
"KX547610/2004/USA/NY/Monroe/WN02/unknown/Mosquito-Culex","KX547610",2004-08-10,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547611/2009/USA/NY/Columbia/WN02/unknown/Bird-crow","KX547611",2009-08-27,2009,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547612/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KX547612",2012-08-21,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547613/2003/USA/NY/Suffolk/WN02/unknown/Mosquito-Culiseta","KX547613",2003-08-27,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547614/2005/USA/NY/Erie/WN02/unknown/Mosquito-Culex","KX547614",2005-07-06,2005,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547615/2006/USA/NY/Suffolk/WN02/unknown/Bird-crow","KX547615",2006-07-26,2006,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547616/2007/USA/NY/Kings/WN02/unknown/Bird-crow","KX547616",2007-09-20,2007,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547617/2003/USA/NY/Orange/WN02/unknown/Mosquito-Culex","KX547617",2003-08-26,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KX547618/2003/USA/NY/Ulster/WN02/unknown/Bird-crow","KX547618",2003-09-25,2003,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547619/2002/USA/NY/Onondaga/WN02/unknown/Mosquito-Culiseta","KX547619",2002-08-15,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culiseta"
"KX547620/2002/USA/NY/Jefferson/WN02/unknown/Bird-crow","KX547620",2002-08-29,2002,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-crow"
"KX547621/2004/USA/NY/Nassau/WN02/unknown/Bird-other","KX547621",2004-09-29,2004,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Bird-other"
"KY216149/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216149",2012-06-20,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY216150/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216150",2012-07-11,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY216151/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216151",2012-07-17,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY216152/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216152",2012-07-17,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY216153/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216153",2012-07-25,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY216154/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216154",2012-07-25,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY216155/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY216155",2012-07-31,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229068/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229068",2012-08-01,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229069/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229069",2012-08-07,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229070/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229070",2012-08-09,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229071/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229071",2012-08-07,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229072/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229072",2012-08-14,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229073/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229073",2012-08-21,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"KY229074/2012/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex","KY229074",2012-08-21,2012,"USA","NY","Not CO","NY","NY","NY","WN02","unknown","Mosquito-Culex"
"MF004388/2008/USA/WI/Unknown/WN02/unknown/Human","MF004388",2008-09-29,2008,"USA","WI","Not CO","WI","WI","WI","WN02","unknown","Human"
"MF175806/2012/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175806",2012-09-24,2012,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175807/2012/USA/TX/Ellis/WN02/unknown/Mosquito-Culex","MF175807",2012-09-21,2012,"USA","TX","Not CO","TX/Ellis","TX/Ellis","TX/Ellis","WN02","unknown","Mosquito-Culex"
"MF175808/2012/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175808",2012-09-19,2012,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175809/2012/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175809",2012-09-18,2012,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175810/2012/USA/TX/Tarrant/WN02/unknown/Mosquito-Culex","MF175810",2012-09-17,2012,"USA","TX","Not CO","TX/Tarrant","TX/Tarrant","TX/Tarrant","WN02","unknown","Mosquito-Culex"
"MF175811/2012/USA/TX/Collin/WN02/unknown/Mosquito-Culex","MF175811",2012-09-12,2012,"USA","TX","Not CO","TX/Collin","TX/Collin","TX/Collin","WN02","unknown","Mosquito-Culex"
"MF175812/2012/USA/TX/Collin/WN02/unknown/Mosquito-Culex","MF175812",2012-09-05,2012,"USA","TX","Not CO","TX/Collin","TX/Collin","TX/Collin","WN02","unknown","Mosquito-Culex"
"MF175813/2012/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175813",2012-09-04,2012,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175814/2012/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175814",2012-09-04,2012,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175815/2012/USA/TX/Dallas/SW03/unknown/Mosquito-Culex","MF175815",2012-10-09,2012,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","SW03","unknown","Mosquito-Culex"
"MF175816/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175816",2013-08-27,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175817/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175817",2013-07-30,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175818/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175818",2013-09-26,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175819/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175819",2013-09-11,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175820/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175820",2013-09-10,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175821/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175821",2013-08-20,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175822/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175822",2013-08-20,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175824/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175824",2013-08-15,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175825/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175825",2013-08-13,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175826/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175826",2013-08-13,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175827/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175827",2013-08-07,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175828/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175828",2013-08-08,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175829/2013/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175829",2013-08-06,2013,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175830/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175830",2014-10-14,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175831/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175831",2015-09-22,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175832/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175832",2014-07-22,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"MF175833/2014/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175833",2014-07-09,2014,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175834/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175834",2015-08-11,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175835/2014/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175835",2014-09-10,2014,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"MF175836/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175836",2015-07-08,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175837/2014/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175837",2014-08-05,2014,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"MF175838/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175838",2014-08-18,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175839/2014/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175839",2014-08-28,2014,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175840/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175840",2014-07-01,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175841/2015/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175841",2015-10-13,2015,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175842/2014/USA/TX/Travis/WN02/unknown/Mosquito-Culex","MF175842",2014-10-17,2014,"USA","TX","Not CO","TX/Travis","TX/Travis","TX/Travis","WN02","unknown","Mosquito-Culex"
"MF175843/2015/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175843",2015-06-23,2015,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175844/2014/USA/TX/Montgomery/WN02/unknown/Mosquito-Culex","MF175844",2014-07-21,2014,"USA","TX","Not CO","TX/Montgomery","TX/Montgomery","TX/Montgomery","WN02","unknown","Mosquito-Culex"
"MF175845/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175845",2014-09-16,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"MF175846/2014/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175846",2014-10-16,2014,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"MF175847/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175847",2015-07-28,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"MF175848/2015/USA/TX/Colllin/WN02/unknown/Mosquito-Culex","MF175848",2015-07-27,2015,"USA","TX","Not CO","TX/Colllin","TX/Colllin","TX/Colllin","WN02","unknown","Mosquito-Culex"
"MF175849/2015/USA/TX/El_Paso/WN02/unknown/Mosquito-Culex","MF175849",2015-07-21,2015,"USA","TX","Not CO","TX/El_Paso","TX/El_Paso","TX/El_Paso","WN02","unknown","Mosquito-Culex"
"MF175850/2015/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175850",2015-07-21,2015,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175851/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175851",2015-09-01,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
"MF175852/2015/USA/TX/Dallas/WN02/unknown/Mosquito-Culex","MF175852",2015-10-21,2015,"USA","TX","Not CO","TX/Dallas","TX/Dallas","TX/Dallas","WN02","unknown","Mosquito-Culex"
"MF175853/2014/USA/TX/Denton/WN02/unknown/Mosquito-Culex","MF175853",2014-08-05,2014,"USA","TX","Not CO","TX/Denton","TX/Denton","TX/Denton","WN02","unknown","Mosquito-Culex"
"MF175854/2015/USA/TX/Williamson/WN02/unknown/Mosquito-Culex","MF175854",2015-10-20,2015,"USA","TX","Not CO","TX/Williamson","TX/Williamson","TX/Williamson","WN02","unknown","Mosquito-Culex"
"MF175855/2014/USA/TX/Williamson/WN02/unknown/Mosquito-Culex","MF175855",2014-11-04,2014,"USA","TX","Not CO","TX/Williamson","TX/Williamson","TX/Williamson","WN02","unknown","Mosquito-Culex"
"MF175856/2015/USA/TX/Colllin/WN02/unknown/Mosquito-Culex","MF175856",2015-08-10,2015,"USA","TX","Not CO","TX/Colllin","TX/Colllin","TX/Colllin","WN02","unknown","Mosquito-Culex"
"MF175857/2015/USA/TX/Fort_Bend/WN02/unknown/Mosquito-Culex","MF175857",2015-08-11,2015,"USA","TX","Not CO","TX/Fort_Bend","TX/Fort_Bend","TX/Fort_Bend","WN02","unknown","Mosquito-Culex"
